radius ,lambda,r/ lambda,Theta (incident angle),Background1 RI,Backgrnd2 RI,Ri1 of particle 1,Loss1 of particle 1,Kai1 of particle 1,Ri2 of particle 2,Loss2 of particle 2,Kai2 of particle 2,Ri3 of particle 3,Loss3 of particle 3,Kai3 of particle 3,Force F1,Force F2,Force F3,Class Label
100,740,0.135135135,25,1,1.33,1.45,0,0,0.14123,4.5752,0,1.45,0,1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1.33,1.45,0,0,0.14123,4.5752,0,1.45,0,-1,push,push,lateral,Negative Class
100,740,0.135135135,25,1,1.33,1.45,0,0,0.14123,4.5752,0,1.45,0,1,push,push,lateral,Negative Class
100,625,0.16,25,1,1.33,1.45,0,0,0.2372,3.1329,0,1.45,0,-1,push,push,lateral,Negative Class
100,626,0.159744409,25,1,1.33,1.45,0,0,0.22568,3.1919,0,1.45,0,1,push,push,lateral,Negative Class
100,627,0.159489633,25,1,1.33,1.45,0,0,0.71912,2.225,0,1.45,0,1,push,push,lateral,Negative Class
100,628,0.159235669,25,1,1.33,1.45,0,0,0.63512,2.0721,0,1.45,0,1,push,push,lateral,Negative Class
100,629,0.158982512,25,1,1.33,1.45,0,0,0.59188,2.1364,0,1.45,0,1,push,push,lateral,Negative Class
100,630,0.158730159,25,1,1.33,1.45,0,0,0.55758,2.2039,0,1.45,0,1,push,push,lateral,Negative Class
100,631,0.158478605,25,1,1.33,1.45,0,0,0.52329,2.2714,0,1.45,0,1,push,push,lateral,Negative Class
100,632,0.158227848,25,1,1.33,1.45,0,0,0.48899,2.3389,0,1.45,0,1,push,push,lateral,Negative Class
100,633,0.157977883,25,1,1.33,1.45,0,0,0.45469,2.4064,0,1.45,0,1,push,push,lateral,Negative Class
100,634,0.157728707,25,1,1.33,1.45,0,0,0.42415,2.4721,0,1.45,0,1,push,push,lateral,Negative Class
100,635,0.157480315,25,1,1.33,1.45,0,0,0.40325,2.5329,0,1.45,0,1,push,push,lateral,Negative Class
100,636,0.157232704,25,1,1.33,1.45,0,0,0.38236,2.5938,0,1.45,0,1,push,push,lateral,Negative Class
100,637,0.156985871,25,1,1.33,1.45,0,0,0.36146,2.6547,0,1.45,0,1,push,push,lateral,Negative Class
100,638,0.156739812,25,1,1.33,1.45,0,0,0.34057,2.7156,0,1.45,0,1,push,push,lateral,Negative Class
100,639,0.156494523,25,1,1.33,1.45,0,0,0.31967,2.7765,0,1.45,0,1,push,push,lateral,Negative Class
100,640,0.15625,25,1,1.33,1.45,0,0,0.29878,2.8374,0,1.45,0,1,push,push,lateral,Negative Class
100,641,0.15600624,25,1,1.33,1.45,0,0,2.8331,2.8972,0,1.45,0,1,push,push,lateral,Negative Class
100,642,0.15576324,25,1,1.33,1.45,0,0,0.27179,2.9561,0,1.45,0,1,push,push,lateral,Negative Class
100,643,0.155520995,25,1,1.33,1.45,0,0,0.325,7.5542,0,1.45,0,1,push,push,lateral,Negative Class
100,644,0.155279503,25,1,1.33,1.45,0,0,0.26026,3.015,0,1.45,0,1,push,push,lateral,Negative Class
